age,d13c,d18o
18.953,1.098,1.779
19.085,0.988,1.919
19.152,1.140,1.540
19.218,1.101,1.671
19.285,1.028,1.581
19.351,0.917,1.499
19.362,1.120,1.860
19.424,0.930,1.740
19.434,,1.600
19.487,1.092,1.784
19.500,0.996,
19.567,1.100,2.009
19.567,0.818,1.768
19.617,0.750,1.770
19.652,0.813,1.733
19.717,0.660,1.990
19.803,,1.622
20.176,0.820,1.990
20.274,0.813,1.451
20.358,0.840,1.670
20.363,,1.620
20.437,0.821,1.568
20.440,0.854,1.906
20.509,0.948,2.385
20.571,,2.326
20.637,1.054,2.364
20.708,0.820,1.760
20.798,0.587,1.936
20.865,0.890,1.431
20.910,1.101,2.479
20.926,1.156,1.979
20.971,0.990,1.950
20.987,0.890,1.870
21.032,1.120,1.870
21.048,0.776,
21.090,1.060,1.710
21.097,1.083,1.722
21.132,0.560,
21.174,0.865,1.837
21.217,0.500,1.590
21.261,0.826,1.885
21.305,0.872,2.029
21.349,1.048,1.594
21.393,1.230,1.940
21.439,1.099,1.773
21.555,0.618,1.023
21.558,0.522,1.261
21.564,0.658,1.167
21.568,0.652,1.453
21.573,0.701,1.363
21.577,1.029,1.257
21.582,0.497,1.251
21.586,0.645,1.291
21.590,0.289,0.827
21.595,0.930,1.475
21.599,0.769,1.260
21.602,0.740,0.970
21.604,0.833,1.250
21.611,0.208,1.921
21.613,0.339,0.757
21.617,0.482,1.168
21.625,0.780,1.698
21.637,0.357,0.656
21.641,0.662,2.239
21.643,1.304,1.836
21.645,0.832,1.715
21.646,1.360,1.420
21.646,1.360,1.420
21.648,0.814,1.203
21.656,0.644,1.321
21.663,1.023,1.427
21.665,1.116,1.375
21.667,0.996,1.297
21.669,1.018,1.479
21.672,1.113,1.690
21.677,0.668,1.474
21.679,0.490,1.472
21.681,0.883,1.485
21.682,0.630,1.370
21.683,0.708,1.108
21.685,0.611,1.390
21.689,0.901,1.472
21.694,0.810,1.245
21.699,0.996,1.597
21.707,0.333,1.589
21.715,1.035,1.638
21.723,0.806,1.416
21.728,0.850,1.243
21.732,0.652,0.973
21.736,0.930,
21.738,1.564,2.026
21.740,1.043,1.147
21.743,0.881,1.413
21.745,0.862,1.174
21.751,0.692,1.389
21.756,0.877,1.439
21.763,1.120,1.454
21.769,0.870,1.106
21.775,1.217,1.659
21.777,0.928,1.132
21.779,1.100,1.450
21.780,1.282,1.365
21.782,1.222,1.849
21.785,1.191,1.290
21.787,1.145,1.436
21.790,1.500,1.451
21.793,1.231,1.237
21.799,1.384,1.664
21.806,1.343,1.343
21.812,1.135,1.520
21.818,1.365,1.387
21.821,1.130,1.460
21.832,1.232,1.571
21.847,0.945,1.277
21.849,1.200,1.397
21.863,1.105,1.351
21.867,1.330,1.560
21.875,1.414,1.968
21.890,1.150,1.484
21.899,1.290,1.687
21.920,1.330,1.714
21.930,1.347,1.810
21.931,0.920,1.470
21.942,1.254,1.809
21.962,1.480,1.843
21.971,1.438,1.559
21.978,1.171,1.922
22.012,1.244,1.547
22.035,1.200,1.651
22.044,1.234,1.357
22.062,1.161,1.660
22.085,1.412,1.585
22.104,0.857,1.609
22.122,1.202,1.275
22.130,1.275,1.419
22.146,0.928,1.166
22.149,1.482,1.254
22.151,1.591,1.932
22.152,1.398,1.875
22.155,0.939,1.346
22.156,1.299,1.767
22.157,1.650,1.877
22.159,1.509,2.080
22.159,1.567,1.860
22.162,1.522,1.962
22.163,1.460,1.820
22.164,1.335,1.846
22.166,1.503,1.958
22.169,1.279,2.001
22.174,1.387,1.695
22.177,0.749,2.165
22.180,1.369,1.952
22.182,1.438,1.898
22.190,1.230,1.940
22.213,1.275,1.894
22.215,1.240,1.830
22.224,1.121,0.808
22.229,0.320,2.044
22.236,1.185,1.795
22.247,1.483,1.865
22.250,1.374,1.788
22.255,1.339,1.602
22.259,1.240,1.730
22.265,1.243,1.807
22.273,1.451,1.742
22.277,1.571,1.737
22.280,1.429,1.625
22.285,1.573,1.881
22.292,1.411,1.482
22.295,1.454,1.207
22.303,1.240,1.598
22.321,1.437,1.897
22.334,1.353,1.793
22.334,1.250,1.700
22.346,1.392,1.848
22.351,1.597,1.734
22.356,1.474,1.830
22.361,1.656,1.447
22.367,1.388,1.732
22.367,1.430,
22.374,1.169,1.508
22.392,1.237,1.908
22.409,1.321,1.467
22.411,1.408,1.393
22.414,1.342,1.389
22.418,1.459,1.963
22.422,1.305,1.401
22.422,1.130,1.680
22.437,1.482,1.388
22.440,0.405,2.161
22.458,1.490,1.650
22.473,1.440,2.040
22.478,1.165,1.678
22.491,1.122,1.444
22.531,1.260,1.260
22.547,1.210,1.670
22.566,1.570,1.860
22.573,1.650,1.490
22.585,1.046,1.818
22.585,1.548,1.600
22.593,1.211,1.792
22.593,1.062,1.816
22.596,1.310,1.530
22.599,1.522,1.486
22.604,1.394,1.571
22.609,1.179,1.519
22.641,1.250,
22.655,1.202,1.582
22.655,1.310,1.670
22.672,1.312,1.757
22.701,1.184,1.787
22.706,0.977,1.331
22.708,1.497,1.833
22.709,1.546,1.773
22.712,1.140,1.520
22.716,1.337,1.868
22.721,1.495,2.012
22.722,1.404,1.343
22.725,1.405,1.877
22.727,1.210,1.890
22.732,1.327,1.722
22.735,1.350,1.990
22.736,1.179,2.154
22.739,1.362,1.879
22.747,1.119,1.525
22.755,1.644,1.878
22.759,1.340,1.613
22.761,1.414,1.773
22.769,1.438,1.747
22.771,1.532,1.871
22.775,0.910,1.986
22.777,1.126,1.751
22.780,1.008,1.372
22.782,1.048,1.516
22.787,0.945,1.467
22.796,1.278,1.811
22.802,1.110,1.570
22.805,1.337,1.417
22.809,1.224,1.043
22.818,1.273,1.556
22.827,0.992,1.711
22.832,1.390,1.850
22.833,1.383,1.307
22.833,1.360,1.910
22.838,1.516,1.974
22.840,1.632,1.780
22.841,1.530,1.830
22.843,1.604,1.904
22.848,1.187,1.969
22.853,1.452,1.804
22.859,1.587,1.670
22.861,1.616,
22.865,1.320,2.073
22.869,1.765,1.958
22.872,1.645,1.794
22.877,1.551,1.480
22.888,1.394,1.784
22.898,1.388,1.719
22.907,1.445,1.853
22.909,1.510,1.790
22.911,1.347,1.648
22.950,1.410,1.880
22.955,1.415,1.847
22.964,1.586,1.920
22.973,1.475,1.815
22.973,1.360,1.650
22.980,1.450,1.990
22.984,1.494,1.938
22.992,1.703,1.862
22.995,1.466,2.274
22.997,1.400,2.130
22.999,1.475,2.147
23.007,1.358,1.871
23.019,1.320,2.114
23.023,0.588,2.327
23.025,,2.130
23.026,1.378,2.131
23.034,1.297,2.075
23.039,1.747,1.172
23.041,1.527,2.053
23.045,1.489,2.286
23.046,1.600,1.960
23.057,1.488,1.991
23.060,1.570,2.200
23.061,1.470,2.180
23.063,1.411,1.859
23.067,1.562,2.222
23.070,1.079,2.036
23.072,1.290,2.200
23.073,1.357,2.109
23.077,1.551,2.216
23.079,1.309,2.150
23.080,1.390,1.930
23.084,1.307,1.975
23.090,1.534,2.105
23.096,1.500,1.980
23.105,1.498,1.713
23.112,1.397,1.872
23.119,1.379,1.783
23.123,1.270,2.050
23.126,1.427,1.983
23.134,1.405,2.013
23.142,0.976,1.764
23.146,1.401,2.183
23.152,1.375,1.715
23.158,0.442,1.486
23.170,1.100,1.580
23.174,0.916,1.766
23.180,1.086,1.507
23.192,1.216,1.807
23.192,1.140,1.770
23.198,1.075,1.578
23.211,1.455,1.808
23.227,1.140,1.510
23.247,0.900,1.800
23.265,0.898,1.383
23.295,,1.530
23.308,0.860,1.610
23.315,0.860,1.520
23.333,0.870,1.590
23.337,0.720,1.610
23.342,0.820,1.510
23.350,0.770,
23.357,0.850,1.450
23.365,0.780,1.460
23.388,0.900,1.530
23.397,1.040,1.360
23.400,1.395,1.410
23.407,,1.500
23.419,0.990,1.370
23.421,1.151,1.750
23.425,1.219,1.351
23.427,1.230,1.372
23.428,0.990,1.290
23.439,1.392,1.960
23.452,1.170,1.680
23.456,1.249,1.801
23.458,1.446,1.383
23.461,,1.310
23.465,0.951,1.553
23.481,1.215,1.673
23.483,1.127,1.464
23.490,1.198,1.923
23.490,1.193,1.703
23.494,1.170,1.730
23.499,0.762,0.927
23.502,1.210,1.630
23.506,1.195,1.702
23.511,1.351,1.556
23.514,1.143,1.420
23.516,1.230,1.630
23.516,1.230,1.630
23.521,1.488,1.672
23.523,1.160,
23.528,1.455,1.755
23.537,1.152,1.569
23.546,0.834,1.493
23.551,1.200,1.410
23.551,1.104,1.225
23.554,0.990,1.540
23.557,1.386,1.732
23.559,1.167,1.576
23.562,0.904,1.809
23.563,0.750,1.590
23.566,1.201,1.902
23.569,0.950,1.720
23.572,1.288,1.885
23.579,0.918,1.470
23.585,1.248,1.254
23.586,1.260,1.680
23.587,1.384,1.696
23.588,1.110,1.430
23.590,1.123,1.530
23.600,1.346,1.683
23.601,1.060,1.340
23.604,1.171,1.846
23.608,0.900,1.750
23.611,1.156,1.670
23.616,1.107,1.892
23.619,0.939,2.145
23.621,0.890,1.730
23.625,0.958,1.600
23.641,1.044,1.952
23.643,1.135,1.826
23.649,0.894,1.690
23.653,1.056,1.377
23.657,0.986,1.534
23.660,1.085,1.332
23.664,0.073,1.739
23.667,0.780,1.543
23.674,0.170,1.576
23.676,0.790,1.560
23.681,0.967,1.646
23.685,1.237,1.728
23.687,1.165,1.980
23.693,0.990,1.206
23.700,1.203,1.598
23.702,0.780,1.490
23.707,1.149,1.413
23.709,0.566,1.152
23.711,0.839,1.036
23.718,0.829,1.377
23.727,0.811,1.650
23.731,0.874,1.929
23.731,0.760,1.140
23.734,0.725,1.160
23.735,0.376,1.064
23.735,0.962,1.286
23.737,0.622,1.754
23.738,0.625,1.190
23.739,1.010,1.388
23.742,0.490,1.115
23.744,0.389,1.441
23.745,0.610,1.460
23.745,0.700,1.310
23.746,0.450,1.717
23.746,0.399,1.185
23.747,0.530,1.168
23.749,0.827,1.296
23.749,0.519,1.197
23.753,0.769,1.183
23.754,0.883,1.621
23.760,0.610,1.508
23.762,0.686,1.154
23.762,0.650,1.300
23.765,0.424,1.048
23.769,0.571,1.630
23.775,0.594,1.697
23.777,0.610,1.400
23.782,0.548,1.096
23.785,0.637,1.060
23.791,0.479,1.384
23.795,0.910,1.420
23.799,1.023,1.488
23.807,0.657,1.303
23.810,0.779,1.237
23.817,1.106,1.441
23.823,0.764,1.156
23.825,0.610,1.031
23.827,0.700,1.430
23.831,0.892,1.433
23.838,0.912,1.527
23.847,0.656,1.242
23.852,0.960,1.410
23.854,0.872,1.483
23.861,0.891,1.326
23.867,0.878,1.440
23.875,1.010,1.415
23.884,1.113,1.728
23.887,0.780,
23.889,0.922,1.240
23.897,1.029,1.912
23.898,0.980,1.470
23.901,0.987,1.647
23.910,0.715,1.532
23.914,0.588,1.555
23.920,0.918,1.423
23.931,0.996,1.783
23.935,0.730,1.410
23.942,0.751,1.345
23.945,0.705,1.148
23.954,0.911,1.731
23.965,0.829,1.649
23.976,0.620,1.410
23.978,0.762,1.452
23.982,0.811,1.298
23.984,0.527,1.175
23.987,0.909,1.327
23.988,0.760,1.420
23.993,0.884,1.458
23.997,0.524,1.401
24.000,0.685,1.433
24.003,0.530,1.390
24.006,0.445,1.422
24.008,0.930,1.365
24.010,0.760,1.380
24.014,0.987,1.626
24.023,0.411,1.290
24.025,0.357,1.204
24.028,0.467,1.571
24.031,0.480,1.510
24.034,0.866,1.533
24.044,0.685,1.389
24.059,0.872,1.438
24.061,0.540,1.100
24.063,0.687,0.962
24.066,0.681,1.584
24.067,0.680,1.230
24.069,0.735,1.395
24.072,0.464,1.239
24.075,0.503,1.412
24.075,0.817,1.460
24.077,0.399,1.694
24.079,0.640,1.510
24.083,0.960,1.628
24.090,0.691,1.073
24.093,0.436,1.416
24.095,0.533,1.130
24.101,0.316,1.263
24.104,0.457,1.277
24.104,0.767,1.436
24.107,0.530,1.140
24.108,0.539,1.237
24.111,0.521,1.191
24.115,0.297,1.224
24.118,0.231,1.028
24.120,0.512,1.384
24.127,0.628,1.381
24.138,0.470,1.354
24.143,0.242,1.517
24.150,0.878,1.431
24.161,0.726,1.245
24.165,0.517,1.159
24.166,,1.300
24.171,0.775,1.289
24.176,0.579,1.133
24.179,0.771,1.206
24.182,0.775,1.140
24.183,0.540,1.370
24.185,0.640,1.084
24.188,0.335,1.296
24.191,0.573,1.609
24.194,0.469,1.562
24.199,0.746,1.337
24.206,0.520,
24.208,0.369,0.911
24.209,0.590,1.410
24.210,0.331,1.445
24.214,0.685,1.191
24.217,0.858,1.347
24.220,0.828,1.333
24.222,0.660,1.290
24.223,0.581,1.129
24.225,0.719,1.224
24.229,0.507,1.220
24.232,0.827,1.305
24.233,1.000,1.460
24.234,0.710,1.400
24.235,0.570,1.400
24.238,0.798,1.685
24.241,0.852,1.411
24.244,0.727,1.367
24.244,0.830,1.400
24.247,0.795,1.473
24.255,0.924,1.528
24.264,0.855,1.723
24.275,0.704,1.519
24.275,0.850,1.300
24.277,0.768,1.256
24.280,0.804,1.221
24.283,0.819,1.476
24.291,0.940,1.520
24.292,0.776,1.551
24.295,0.720,1.450
24.296,1.026,1.806
24.302,0.589,1.502
24.308,0.997,1.411
24.311,0.760,1.610
24.314,0.948,1.557
24.324,0.941,1.503
24.340,0.878,1.603
24.348,0.907,1.380
24.352,0.547,1.820
24.353,0.567,
24.356,0.844,1.327
24.357,0.726,1.711
24.359,0.890,1.360
24.360,0.839,1.385
24.363,0.680,1.640
24.366,0.899,1.578
24.369,1.135,1.641
24.372,0.478,1.505
24.374,,1.250
24.374,0.590,1.419
24.378,0.576,0.974
24.380,0.406,0.997
24.390,0.779,1.422
24.393,0.790,1.380
24.394,0.559,1.280
24.402,,1.333
24.404,0.850,1.184
24.406,0.957,1.227
24.409,,1.620
24.412,0.932,1.400
24.419,0.796,1.374
24.426,0.915,1.716
24.432,0.889,1.630
24.433,0.760,1.750
24.436,0.692,1.573
24.437,1.002,1.833
24.439,0.966,1.769
24.440,0.504,2.046
24.440,0.760,1.750
24.441,0.633,1.400
24.442,0.766,1.960
24.444,0.628,1.704
24.444,0.864,1.406
24.447,0.670,1.630
24.447,0.652,1.495
24.448,0.770,1.349
24.449,0.805,1.469
24.451,0.638,1.412
24.451,0.601,1.385
24.453,0.750,1.336
24.456,0.789,1.530
24.457,0.939,1.519
24.459,0.678,1.682
24.460,0.787,1.751
24.464,0.567,1.257
24.467,0.563,1.208
24.475,0.514,1.309
24.476,0.575,1.380
24.477,0.480,1.380
24.478,0.518,1.553
24.478,0.634,1.488
24.480,0.576,1.816
24.480,0.455,1.254
24.482,0.649,1.511
24.482,0.872,1.563
24.484,0.814,1.455
24.484,0.671,1.569
24.485,0.550,1.410
24.488,0.642,1.317
24.489,0.410,1.475
24.494,0.453,1.117
24.496,0.572,1.491
24.501,0.583,1.129
24.504,0.645,1.338
24.508,0.601,1.383
24.510,0.560,1.360
24.511,0.546,1.165
24.515,0.475,1.309
24.518,0.822,1.630
24.519,0.583,1.539
24.521,0.224,1.367
24.522,0.821,1.658
24.524,0.506,1.951
24.525,0.700,1.674
24.526,0.760,
24.531,0.764,1.389
24.531,0.574,1.446
24.537,0.825,1.534
24.537,0.541,1.557
24.539,0.644,1.279
24.540,0.728,1.493
24.543,0.623,1.531
24.544,0.785,1.489
24.548,0.595,1.457
24.550,0.106,1.930
24.554,0.731,1.408
24.557,0.874,1.696
24.558,0.634,1.547
24.563,0.471,1.290
24.571,0.700,1.573
24.575,0.419,1.483
24.577,0.546,1.304
24.579,0.602,1.395
24.583,0.413,1.052
24.590,0.239,1.214
24.598,0.640,1.207
24.602,0.413,1.184
24.610,0.595,1.139
24.617,0.775,1.578
24.624,0.522,1.177
24.632,0.889,1.687
24.638,0.678,1.623
24.646,0.838,1.481
24.650,0.915,1.518
24.652,0.735,1.486
24.656,0.669,1.378
24.660,0.682,1.526
24.665,0.723,1.314
24.667,0.751,1.319
24.669,0.896,1.602
24.671,0.796,1.328
24.673,0.671,1.329
24.675,0.620,1.370
24.677,0.581,1.251
24.679,0.652,1.400
24.680,0.448,1.524
24.681,0.651,1.385
24.683,0.520,1.453
24.688,0.810,1.495
24.695,0.657,1.398
24.698,0.478,1.262
24.699,0.809,1.289
24.702,0.649,1.359
24.704,0.692,1.463
24.705,0.761,1.170
24.707,0.609,1.574
24.708,0.614,1.310
24.710,0.612,1.554
24.712,0.580,1.278
24.713,0.632,1.428
24.716,0.533,1.322
24.718,0.748,1.408
24.720,0.668,1.431
24.722,0.690,1.374
24.723,0.688,1.366
24.725,0.681,1.591
24.730,0.718,1.570
24.737,0.669,1.461
24.742,0.643,1.398
24.747,0.726,1.494
24.749,0.553,1.085
24.752,0.547,1.514
24.753,0.703,1.279
24.755,0.657,1.161
24.757,0.438,1.175
24.758,0.436,1.248
24.763,0.631,1.360
24.765,,1.598
24.769,0.642,1.468
24.780,0.710,1.379
24.790,0.480,1.358
24.798,0.532,1.606
24.801,0.407,1.565
24.804,0.458,1.671
24.810,0.816,1.750
24.812,0.600,1.880
24.820,0.788,1.502
24.828,0.660,1.507
24.830,0.643,1.579
24.836,0.711,1.358
24.841,0.759,1.368
24.844,0.640,1.293
24.847,0.423,1.472
24.849,0.629,1.372
24.852,0.642,1.525
24.855,0.547,1.505
24.857,0.550,1.536
24.857,0.487,1.568
24.860,0.602,1.432
24.863,0.464,1.401
24.871,0.506,1.322
24.875,0.597,1.450
24.878,0.545,1.261
24.881,0.602,1.360
24.883,0.537,1.286
24.887,0.460,1.288
24.890,0.441,1.415
24.893,0.992,1.516
24.896,0.420,1.355
24.896,0.510,
24.902,0.636,1.467
24.912,0.268,1.226
24.923,0.973,1.860
24.930,0.820,1.529
24.933,0.651,1.442
24.935,0.660,1.298
24.937,0.762,1.671
24.944,0.729,1.649
24.950,0.395,1.573
24.951,0.376,1.802
24.952,0.502,1.863
24.953,0.630,1.817
24.955,0.333,1.591
24.961,0.336,1.547
24.963,0.500,1.781
24.967,0.337,1.446
24.972,0.512,1.404
24.979,0.310,1.260
24.985,0.380,1.361
24.988,0.241,1.312
24.990,0.332,1.573
24.991,,1.610
24.992,0.494,1.451
24.999,0.263,1.323
25.004,0.447,1.427
25.005,0.335,1.512
25.008,0.517,1.406
25.013,0.724,1.518
25.020,0.444,1.536
25.026,0.609,1.661
25.033,0.567,1.578
25.035,0.460,1.770
25.037,0.676,1.576
25.043,0.824,1.565
25.050,0.668,1.520
25.053,0.726,1.235
25.055,1.017,1.686
25.061,0.672,1.342
25.062,0.609,1.443
25.066,0.879,1.503
25.073,0.394,1.416
25.078,0.633,1.467
25.081,0.491,1.601
25.081,0.529,1.492
25.082,0.364,1.433
25.087,0.846,1.668
25.093,0.343,1.512
25.096,0.663,1.374
25.101,0.679,1.602
25.102,0.319,1.489
25.104,0.508,1.555
25.106,0.556,1.567
25.108,0.654,1.564
25.110,0.491,1.584
25.112,0.478,1.467
25.114,0.450,1.686
25.115,0.774,1.890
25.117,0.525,1.648
25.119,0.619,1.686
25.120,0.540,1.750
25.124,0.861,1.679
25.131,0.823,1.688
25.136,0.426,1.746
25.140,0.809,1.612
25.141,0.757,1.631
25.143,0.727,1.664
25.145,0.515,1.690
25.147,0.659,1.608
25.151,0.246,1.369
25.156,0.754,1.548
25.159,0.417,1.557
25.160,0.537,1.420
25.162,0.592,1.621
25.166,0.723,1.549
25.172,0.408,1.172
25.177,-0.128,1.701
25.183,0.528,1.365
25.186,0.443,1.403
25.188,0.522,1.286
25.190,0.792,1.613
25.191,0.444,1.258
25.193,0.474,1.229
25.196,0.867,1.535
25.197,0.402,1.325
25.198,0.540,1.600
25.201,0.737,1.525
25.206,0.837,1.729
25.212,0.512,1.413
25.217,0.783,1.567
25.220,0.591,1.239
25.222,0.704,1.402
25.226,0.772,1.607
25.229,0.659,1.479
25.230,0.510,1.500
25.231,0.547,1.496
25.233,0.576,1.580
25.235,0.567,1.510
25.235,0.669,1.800
25.236,0.501,1.463
25.238,0.554,1.486
25.241,0.421,1.355
25.247,0.415,1.343
25.253,0.661,1.494
25.260,0.617,1.408
25.266,0.206,1.202
25.274,0.559,1.333
25.280,0.389,1.318
25.286,0.098,0.873
25.286,0.290,1.590
25.288,0.500,1.517
25.294,0.604,1.508
25.302,0.582,1.484
25.304,0.518,1.302
25.306,0.483,1.326
25.307,0.696,1.653
25.310,0.285,1.425
25.311,0.167,1.270
25.314,0.541,1.384
25.319,0.640,1.526
25.326,0.697,1.465
25.331,0.213,1.482
